age_months,l,m,s
0,1,49.1477,0.0379
1,1,53.6872,0.0364
2,1,57.0673,0.03568
3,1,59.8029,0.0352
4,1,62.0899,0.03486
5,1,64.0301,0.03463
6,1,65.7311,0.03448
7,1,67.2873,0.03441
8,1,68.7498,0.0344
9,1,70.1435,0.03444
10,1,71.4818,0.03452
11,1,72.771,0.03464
12,1,74.015,0.03479
13,1,75.2176,0.03496
14,1,76.3817,0.03514
15,1,77.5099,0.03534
16,1,78.6055,0.03555
17,1,79.671,0.03576
18,1,80.7079,0.03598
19,1,81.7182,0.0362
20,1,82.7036,0.03643
21,1,83.6654,0.03666
22,1,84.604,0.03688
23,1,85.5202,0.03711
24,1,85.7153,0.03764
25,1,86.5904,0.03786
26,1,87.4462,0.03808
27,1,88.283,0.0383
28,1,89.1004,0.03851
29,1,89.8991,0.03872
30,1,90.6797,0.03893
31,1,91.443,0.03913
32,1,92.1906,0.03933
33,1,92.9239,0.03952
34,1,93.6444,0.03971
35,1,94.3533,0.03989
36,1,95.0515,0.04006
37,1,95.7399,0.04024
38,1,96.4187,0.04041
39,1,97.0885,0.04057
40,1,97.7493,0.04073
41,1,98.4015,0.04089
42,1,99.0448,0.04105
43,1,99.6795,0.0412
44,1,100.3058,0.04135
45,1,100.9238,0.0415
46,1,101.5337,0.04164
47,1,102.136,0.04179
48,1,102.7312,0.04193
49,1,103.3197,0.04206
50,1,103.9021,0.0422
51,1,104.4786,0.04233
52,1,105.0494,0.04246
53,1,105.6148,0.04259
54,1,106.1748,0.04272
55,1,106.7295,0.04285
56,1,107.2788,0.04298
57,1,107.8227,0.0431
58,1,108.3613,0.04322
59,1,108.8948,0.04334
60,1,109.4233,0.04347
